Year,foreign_born,usa_born
2014,4,5
2013,4,5
2012,4,5
2011,6,3
2010,4,5
2009,4,5
2008,5,4
2007,4,5
2006,3,6
2005,2,7
2004,2,7
2003,2,7
2002,1,8
2001,2,7
2000,3,6
1999,2,7
1998,2,7
1997,1,8
1996,1,8
1995,1,8
1994,1,8
1993,2,7
1992,2,7
1991,1,8
1990,1,8
1989,0,9
1988,1,8
1987,0,9
1986,1,8
1985,0,9
1984,0,9
1983,1,8
1982,0,9
1981,0,9
1980,0,9
1979,0,9
1978,1,8
1977,2,7
1976,2,7
1975,2,7
1974,1,8
1973,2,7
1972,2,7
1971,1,8
1970,1,8
1969,1,8
1968,2,7
1967,2,7
1966,0,9
1965,1,8
1964,1,8
1963,1,8
1962,0,9
1961,1,8
1960,1,8
1959,2,7
1958,2,7
1957,0,9
1956,0,9
1955,0,9
1954,0,9
1953,0,9
1952,0,9
1951,0,9
1950,0,9
1949,0,9
1948,0,9
1947,0,9
1946,0,9
1945,0,9
1944,0,9
1943,1,8
1942,0,9
1941,0,9
1940,0,9
1939,0,9
1938,0,9
1937,0,9
1936,0,9
1935,0,9
1934,0,9
1933,0,9
1932,1,8
1931,0,9
1930,0,9
1929,1,8
1928,0,9
1927,1,8
1926,0,9
1925,0,9
1924,0,9
1923,0,9
1922,1,8
1921,0,9
1920,0,9
1919,0,9
1918,0,9
1917,0,9
1916,1,8
1915,1,8
1914,1,8
