year,position,last_name,full_name,id,url,birthplace_url,birthplace,birthplace_is_usa,birthplace_clean
1932,RF,Barton,Vince Barton,bartovi01,http://baseball-reference.com/players/b/bartovi01.shtml,http://baseball-reference.com/bio/Canada_born.shtml,Alberta,False,Canada
1964,SS,Rodgers,Andre Rodgers,rodgean01,http://baseball-reference.com/players/r/rodgean01.shtml,http://baseball-reference.com/bio/Bahamas_born.shtml,Bahamas,False,Bahamas
1963,SS,Rodgers,Andre Rodgers,rodgean01,http://baseball-reference.com/players/r/rodgean01.shtml,http://baseball-reference.com/bio/Bahamas_born.shtml,Bahamas,False,Bahamas
1961,1B,Rodgers,Andre Rodgers,rodgean01,http://baseball-reference.com/players/r/rodgean01.shtml,http://baseball-reference.com/bio/Bahamas_born.shtml,Bahamas,False,Bahamas
2012,P,Dempster,Ryan Dempster,dempsry01,http://baseball-reference.com/players/d/dempsry01.shtml,http://baseball-reference.com/bio/Canada_born.shtml,British Columbia,False,Canada
2011,P,Dempster,Ryan Dempster,dempsry01,http://baseball-reference.com/players/d/dempsry01.shtml,http://baseball-reference.com/bio/Canada_born.shtml,British Columbia,False,Canada
1988,LF,Palmeiro,Rafael Palmeiro,palmera01,http://baseball-reference.com/players/p/palmera01.shtml,http://baseball-reference.com/bio/Cuba_born.shtml,Cuba,False,Cuba
1977,LF,Cardenal,Jose Cardenal,cardejo02,http://baseball-reference.com/players/c/cardejo02.shtml,http://baseball-reference.com/bio/Cuba_born.shtml,Cuba,False,Cuba
1976,LF,Cardenal,Jose Cardenal,cardejo02,http://baseball-reference.com/players/c/cardejo02.shtml,http://baseball-reference.com/bio/Cuba_born.shtml,Cuba,False,Cuba
1975,LF,Cardenal,Jose Cardenal,cardejo02,http://baseball-reference.com/players/c/cardejo02.shtml,http://baseball-reference.com/bio/Cuba_born.shtml,Cuba,False,Cuba
1974,RF,Cardenal,Jose Cardenal,cardejo02,http://baseball-reference.com/players/c/cardejo02.shtml,http://baseball-reference.com/bio/Cuba_born.shtml,Cuba,False,Cuba
1973,RF,Cardenal,Jose Cardenal,cardejo02,http://baseball-reference.com/players/c/cardejo02.shtml,http://baseball-reference.com/bio/Cuba_born.shtml,Cuba,False,Cuba
1972,RF,Cardenal,Jose Cardenal,cardejo02,http://baseball-reference.com/players/c/cardejo02.shtml,http://baseball-reference.com/bio/Cuba_born.shtml,Cuba,False,Cuba
1968,2B,Arcia,Jose Arcia,arciajo01,http://baseball-reference.com/players/a/arciajo01.shtml,http://baseball-reference.com/bio/Cuba_born.shtml,Cuba,False,Cuba
1960,2B,Taylor,Tony Taylor,tayloto02,http://baseball-reference.com/players/t/tayloto02.shtml,http://baseball-reference.com/bio/Cuba_born.shtml,Cuba,False,Cuba
1959,2B,Taylor,Tony Taylor,tayloto02,http://baseball-reference.com/players/t/tayloto02.shtml,http://baseball-reference.com/bio/Cuba_born.shtml,Cuba,False,Cuba
1958,2B,Taylor,Tony Taylor,tayloto02,http://baseball-reference.com/players/t/tayloto02.shtml,http://baseball-reference.com/bio/Cuba_born.shtml,Cuba,False,Cuba
1929,C,Gonzalez,Mike Gonzalez,gonzami01,http://baseball-reference.com/players/g/gonzami01.shtml,http://baseball-reference.com/bio/Cuba_born.shtml,Cuba,False,Cuba
1927,C,Gonzalez,Mike Gonzalez,gonzami01,http://baseball-reference.com/players/g/gonzami01.shtml,http://baseball-reference.com/bio/Cuba_born.shtml,Cuba,False,Cuba
2014,C,Castillo,Welington Castillo,castiwe01,http://baseball-reference.com/players/c/castiwe01.shtml,http://baseball-reference.com/bio/Dominican-Republic_born.shtml,Dominican Republic,False,Dominican Republic
2014,SS,Castro,Starlin Castro,castrst01,http://baseball-reference.com/players/c/castrst01.shtml,http://baseball-reference.com/bio/Dominican-Republic_born.shtml,Dominican Republic,False,Dominican Republic
2014,LF,Lake,Junior Lake,lakeju01,http://baseball-reference.com/players/l/lakeju01.shtml,http://baseball-reference.com/bio/Dominican-Republic_born.shtml,Dominican Republic,False,Dominican Republic
2014,CF,Bonifacio,Emilio Bonifacio,bonifem01,http://baseball-reference.com/players/b/bonifem01.shtml,http://baseball-reference.com/bio/Dominican-Republic_born.shtml,Dominican Republic,False,Dominican Republic
2013,C,Castillo,Welington Castillo,castiwe01,http://baseball-reference.com/players/c/castiwe01.shtml,http://baseball-reference.com/bio/Dominican-Republic_born.shtml,Dominican Republic,False,Dominican Republic
2013,SS,Castro,Starlin Castro,castrst01,http://baseball-reference.com/players/c/castrst01.shtml,http://baseball-reference.com/bio/Dominican-Republic_born.shtml,Dominican Republic,False,Dominican Republic
2013,LF,Soriano,Alfonso Soriano,soriaal01,http://baseball-reference.com/players/s/soriaal01.shtml,http://baseball-reference.com/bio/Dominican-Republic_born.shtml,Dominican Republic,False,Dominican Republic
2012,SS,Castro,Starlin Castro,castrst01,http://baseball-reference.com/players/c/castrst01.shtml,http://baseball-reference.com/bio/Dominican-Republic_born.shtml,Dominican Republic,False,Dominican Republic
2012,LF,Soriano,Alfonso Soriano,soriaal01,http://baseball-reference.com/players/s/soriaal01.shtml,http://baseball-reference.com/bio/Dominican-Republic_born.shtml,Dominican Republic,False,Dominican Republic
2011,1B,Pena,Carlos Pena,penaca01,http://baseball-reference.com/players/p/penaca01.shtml,http://baseball-reference.com/bio/Dominican-Republic_born.shtml,Dominican Republic,False,Dominican Republic
2011,3B,Ramirez,Aramis Ramirez,ramirar01,http://baseball-reference.com/players/r/ramirar01.shtml,http://baseball-reference.com/bio/Dominican-Republic_born.shtml,Dominican Republic,False,Dominican Republic
2011,SS,Castro,Starlin Castro,castrst01,http://baseball-reference.com/players/c/castrst01.shtml,http://baseball-reference.com/bio/Dominican-Republic_born.shtml,Dominican Republic,False,Dominican Republic
2011,LF,Soriano,Alfonso Soriano,soriaal01,http://baseball-reference.com/players/s/soriaal01.shtml,http://baseball-reference.com/bio/Dominican-Republic_born.shtml,Dominican Republic,False,Dominican Republic
2010,3B,Ramirez,Aramis Ramirez,ramirar01,http://baseball-reference.com/players/r/ramirar01.shtml,http://baseball-reference.com/bio/Dominican-Republic_born.shtml,Dominican Republic,False,Dominican Republic
2010,LF,Soriano,Alfonso Soriano,soriaal01,http://baseball-reference.com/players/s/soriaal01.shtml,http://baseball-reference.com/bio/Dominican-Republic_born.shtml,Dominican Republic,False,Dominican Republic
2009,3B,Ramirez,Aramis Ramirez,ramirar01,http://baseball-reference.com/players/r/ramirar01.shtml,http://baseball-reference.com/bio/Dominican-Republic_born.shtml,Dominican Republic,False,Dominican Republic
2009,LF,Soriano,Alfonso Soriano,soriaal01,http://baseball-reference.com/players/s/soriaal01.shtml,http://baseball-reference.com/bio/Dominican-Republic_born.shtml,Dominican Republic,False,Dominican Republic
2008,3B,Ramirez,Aramis Ramirez,ramirar01,http://baseball-reference.com/players/r/ramirar01.shtml,http://baseball-reference.com/bio/Dominican-Republic_born.shtml,Dominican Republic,False,Dominican Republic
2008,LF,Soriano,Alfonso Soriano,soriaal01,http://baseball-reference.com/players/s/soriaal01.shtml,http://baseball-reference.com/bio/Dominican-Republic_born.shtml,Dominican Republic,False,Dominican Republic
2008,CF,Pie,Felix Pie,piefe01,http://baseball-reference.com/players/p/piefe01.shtml,http://baseball-reference.com/bio/Dominican-Republic_born.shtml,Dominican Republic,False,Dominican Republic
2007,3B,Ramirez,Aramis Ramirez,ramirar01,http://baseball-reference.com/players/r/ramirar01.shtml,http://baseball-reference.com/bio/Dominican-Republic_born.shtml,Dominican Republic,False,Dominican Republic
2007,CF,Soriano,Alfonso Soriano,soriaal01,http://baseball-reference.com/players/s/soriaal01.shtml,http://baseball-reference.com/bio/Dominican-Republic_born.shtml,Dominican Republic,False,Dominican Republic
